Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:19:39.322305,22.15,38.52,955.23
2024-07-09 11:19:40.327382,22.15,38.5,955.23
2024-07-09 11:19:41.325197,22.14,38.48,955.23
2024-07-09 11:19:42.325787,22.14,38.51,955.22
2024-07-09 11:19:43.329621,22.13,38.55,955.23
2024-07-09 11:19:44.336800,22.13,38.55,955.25
2024-07-09 11:19:45.336149,22.13,38.47,955.23
2024-07-09 11:19:46.336226,22.12,38.37,955.22
2024-07-09 11:19:47.336684,22.12,38.35,955.24
2024-07-09 11:19:48.340931,22.12,38.31,955.24
2024-07-09 11:19:49.341324,22.11,38.26,955.22
2024-07-09 11:19:50.344893,22.11,38.23,955.24
2024-07-09 11:19:51.350819,22.11,38.12,955.23
2024-07-09 11:19:52.349472,22.1,38.05,955.2
2024-07-09 11:19:53.356383,22.09,37.96,955.23
2024-07-09 11:19:54.357295,22.09,37.9,955.23
2024-07-09 11:19:55.359314,22.09,37.83,955.24
2024-07-09 11:19:56.365257,22.09,37.78,955.21
2024-07-09 11:19:57.360086,22.08,37.7,955.24
2024-07-09 11:19:58.365126,22.07,37.61,955.25
2024-07-09 11:19:59.363528,22.07,37.53,955.22
2024-07-09 11:20:00.375767,22.07,37.48,955.24
2024-07-09 11:20:01.371094,22.07,37.45,955.25
2024-07-09 11:20:02.380384,22.06,37.45,955.25
2024-07-09 11:20:03.378965,22.05,37.49,955.24
2024-07-09 11:20:04.385080,22.05,37.47,955.23
2024-07-09 11:20:05.382118,22.05,37.44,955.25
2024-07-09 11:20:06.390229,22.04,37.39,955.25
2024-07-09 11:20:07.388119,22.04,37.38,955.24
2024-07-09 11:20:08.390740,22.03,37.36,955.22
2024-07-09 11:20:09.395766,22.03,37.35,955.24
2024-07-09 11:20:10.395884,22.03,37.34,955.23
2024-07-09 11:20:11.393821,22.03,37.33,955.22
2024-07-09 11:20:12.403993,22.02,37.32,955.24
2024-07-09 11:20:13.400230,22.02,37.29,955.25
2024-07-09 11:20:14.409988,22.01,37.2,955.23
2024-07-09 11:20:15.406630,22.01,37.06,955.24
2024-07-09 11:20:16.412142,22.0,36.95,955.22
2024-07-09 11:20:17.410581,21.99,36.85,955.22
2024-07-09 11:20:18.416152,21.98,36.76,955.21
2024-07-09 11:20:19.419695,21.97,36.69,955.24
2024-07-09 11:20:20.424363,21.97,36.64,955.21
2024-07-09 11:20:21.423468,21.96,36.65,955.21
2024-07-09 11:20:22.425583,21.96,36.65,955.23
2024-07-09 11:20:23.424265,21.96,36.64,955.22
2024-07-09 11:20:24.428841,21.95,36.6,955.22
2024-07-09 11:20:25.429144,21.94,36.52,955.21
2024-07-09 11:20:26.432490,21.93,36.45,955.21
2024-07-09 11:20:27.436254,21.93,36.39,955.21
2024-07-09 11:20:28.441400,21.92,36.38,955.22
2024-07-09 11:20:29.444478,21.92,36.38,955.22
2024-07-09 11:20:30.447360,21.9,36.44,955.22
2024-07-09 11:20:31.449254,21.9,36.45,955.23
2024-07-09 11:20:32.454725,21.88,36.14,955.2
2024-07-09 11:20:33.447372,21.87,36.03,955.21
2024-07-09 11:20:34.456682,21.87,35.96,955.21
2024-07-09 11:20:35.459283,21.86,35.89,955.2
2024-07-09 11:20:36.459571,21.87,35.9,955.24
2024-07-09 11:20:37.460203,21.86,35.93,955.24
2024-07-09 11:20:38.465505,21.86,35.98,955.22
2024-07-09 11:20:39.466266,21.85,36.05,955.24
2024-07-09 11:20:40.467793,21.85,36.11,955.2
2024-07-09 11:20:41.474004,21.85,36.19,955.21
2024-07-09 11:20:42.474649,21.85,36.25,955.21
2024-07-09 11:20:43.478770,21.85,36.32,955.19
2024-07-09 11:20:44.478486,21.85,36.35,955.25
2024-07-09 11:20:45.481671,21.84,36.4,955.23
2024-07-09 11:20:46.488740,21.84,36.34,955.21
2024-07-09 11:20:47.488229,21.83,36.31,955.22
2024-07-09 11:20:48.489638,21.83,36.27,955.21
2024-07-09 11:20:49.491611,21.83,36.26,955.23
2024-07-09 11:20:50.495970,21.81,36.23,955.19
2024-07-09 11:20:51.495007,21.81,36.2,955.2
2024-07-09 11:20:52.499696,21.81,36.21,955.21
2024-07-09 11:20:53.495932,21.8,36.15,955.22
2024-07-09 11:20:54.503431,21.8,36.06,955.24
2024-07-09 11:20:55.500661,21.79,36.02,955.22
2024-07-09 11:20:56.508882,21.8,35.97,955.24
2024-07-09 11:20:57.507910,21.79,35.96,955.23
2024-07-09 11:20:58.516906,21.79,35.96,955.22
2024-07-09 11:20:59.515220,21.79,35.97,955.23
2024-07-09 11:21:00.518827,21.78,35.96,955.23
2024-07-09 11:21:01.518757,21.78,35.97,955.27
2024-07-09 11:21:02.522412,21.78,35.98,955.26
2024-07-09 11:21:03.525746,21.77,36.01,955.24
2024-07-09 11:21:04.529725,21.77,36.02,955.26
2024-07-09 11:21:05.530203,21.76,36.01,955.26
2024-07-09 11:21:06.537200,21.76,36.02,955.25
2024-07-09 11:21:07.536663,21.76,36.02,955.26
2024-07-09 11:21:08.535867,21.76,36.03,955.24
2024-07-09 11:21:09.535652,21.75,36.05,955.24
2024-07-09 11:21:10.544693,21.75,36.07,955.25
2024-07-09 11:21:11.542782,21.75,36.08,955.21
2024-07-09 11:21:12.550527,21.75,36.11,955.2
2024-07-09 11:21:13.550691,21.75,36.15,955.24
2024-07-09 11:21:14.549745,21.75,36.17,955.23
2024-07-09 11:21:15.554529,21.74,36.19,955.24
2024-07-09 11:21:16.561636,21.74,36.2,955.23
2024-07-09 11:21:17.560449,21.73,36.23,955.24
2024-07-09 11:21:18.566867,21.74,36.26,955.25
2024-07-09 11:21:19.566774,21.73,36.3,955.23
2024-07-09 11:21:20.564653,21.73,36.29,955.24
2024-07-09 11:21:21.570548,21.73,36.25,955.24
2024-07-09 11:21:22.570869,21.72,36.22,955.22
2024-07-09 11:21:23.576937,21.73,36.16,955.23
2024-07-09 11:21:24.581595,21.72,36.1,955.23
2024-07-09 11:21:25.576996,21.71,36.06,955.23
2024-07-09 11:21:26.581275,21.71,36.02,955.23
2024-07-09 11:21:27.581701,21.7,35.97,955.22
2024-07-09 11:21:28.588833,21.7,35.94,955.23
2024-07-09 11:21:29.589955,21.7,35.96,955.23
2024-07-09 11:21:30.596096,21.7,35.98,955.23
2024-07-09 11:21:31.592497,21.69,36.02,955.24
2024-07-09 11:21:32.595248,21.69,36.07,955.21
2024-07-09 11:21:33.597890,21.69,36.09,955.23
2024-07-09 11:21:34.600904,21.69,36.11,955.21
2024-07-09 11:21:35.598262,21.69,36.13,955.21
2024-07-09 11:21:36.605920,21.69,36.12,955.21
2024-07-09 11:21:37.603786,21.68,36.11,955.22
2024-07-09 11:21:38.614950,21.68,36.07,955.22
2024-07-09 11:21:39.609585,21.68,36.05,955.24
2024-07-09 11:21:40.616365,21.68,36.05,955.21
2024-07-09 11:21:41.618389,21.67,36.08,955.21
2024-07-09 11:21:42.620041,21.67,36.11,955.24
2024-07-09 11:21:43.621455,21.67,36.13,955.21
2024-07-09 11:21:44.628217,21.67,36.16,955.22
2024-07-09 11:21:45.626107,21.67,36.17,955.23
2024-07-09 11:21:46.631384,21.66,36.18,955.24
2024-07-09 11:21:47.629859,21.66,36.18,955.23
2024-07-09 11:21:48.637583,21.66,36.19,955.24
2024-07-09 11:21:49.634832,21.66,36.24,955.25
2024-07-09 11:21:50.641684,21.66,36.42,955.22
2024-07-09 11:21:51.642368,21.65,36.54,955.25
