Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-09 11:43:18.906866,28.96,73.27,955.09
2024-07-09 11:43:19.919458,29.06,74.15,955.04
2024-07-09 11:43:20.920462,28.97,72.75,955.05
2024-07-09 11:43:21.920158,28.85,69.1,955.09
2024-07-09 11:43:22.925338,29.14,73.41,955.05
2024-07-09 11:43:23.928446,29.13,74.63,955.03
2024-07-09 11:43:24.928642,28.87,70.21,955.06
2024-07-09 11:43:25.934191,29.13,73.2,955.04
2024-07-09 11:43:26.930269,28.99,72.22,955.05
2024-07-09 11:43:27.935444,28.83,67.46,955.08
2024-07-09 11:43:28.940302,29.02,71.42,955.05
2024-07-09 11:43:29.944636,28.94,71.43,955.08
2024-07-09 11:43:30.936895,28.79,67.43,955.05
2024-07-09 11:43:31.948724,29.04,72.51,955.03
2024-07-09 11:43:32.946042,28.98,73.48,955.06
2024-07-09 11:43:33.952469,28.91,73.3,955.03
2024-07-09 11:43:34.953964,28.98,73.9,955.03
2024-07-09 11:43:35.955477,28.8,69.41,955.09
2024-07-09 11:43:36.957448,28.85,69.87,955.08
2024-07-09 11:43:37.962176,28.82,68.81,955.09
2024-07-09 11:43:38.960134,28.86,70.45,955.04
2024-07-09 11:43:39.962893,28.92,72.48,955.06
2024-07-09 11:43:40.966523,28.92,73.0,955.0
2024-07-09 11:43:41.969046,28.87,72.13,955.08
2024-07-09 11:43:42.970619,28.84,70.94,955.05
2024-07-09 11:43:43.977887,28.87,72.15,955.03
2024-07-09 11:43:44.972499,28.87,72.44,955.07
2024-07-09 11:43:45.980038,28.77,70.14,955.05
2024-07-09 11:43:46.978675,28.83,70.67,955.02
2024-07-09 11:43:47.989018,28.93,73.41,954.99
2024-07-09 11:43:48.985812,28.72,70.7,955.05
2024-07-09 11:43:49.991386,28.83,72.32,955.06
2024-07-09 11:43:50.990889,28.81,72.34,955.07
2024-07-09 11:43:51.991837,28.81,72.34,955.04
2024-07-09 11:43:52.996631,28.82,72.99,955.05
2024-07-09 11:43:54.000098,28.65,68.38,955.04
2024-07-09 11:43:54.999676,28.8,72.11,955.06
2024-07-09 11:43:56.006418,28.73,71.19,955.09
2024-07-09 11:43:57.006854,28.55,66.94,955.05
2024-07-09 11:43:58.012708,28.6,68.26,955.05
2024-07-09 11:43:59.011431,28.59,67.76,955.03
2024-07-09 11:44:00.015349,28.66,69.92,955.05
2024-07-09 11:44:01.017911,28.77,71.91,955.05
2024-07-09 11:44:02.018732,28.91,73.71,955.02
2024-07-09 11:44:03.016549,29.01,74.78,955.01
2024-07-09 11:44:04.028205,29.02,75.22,955.01
2024-07-09 11:44:05.024852,29.05,75.71,955.01
2024-07-09 11:44:06.032783,29.15,76.11,955.02
2024-07-09 11:44:07.029618,29.29,76.52,955.03
2024-07-09 11:44:08.034921,29.06,75.34,955.02
2024-07-09 11:44:09.033113,29.18,76.2,955.01
2024-07-09 11:44:10.037107,29.18,76.63,955.01
2024-07-09 11:44:11.041023,29.09,75.32,955.03
2024-07-09 11:44:12.044847,28.97,73.39,954.99
2024-07-09 11:44:13.044421,29.03,74.65,954.99
2024-07-09 11:44:14.052484,29.04,74.59,954.99
2024-07-09 11:44:15.051639,28.9,72.59,955.04
2024-07-09 11:44:16.056132,29.01,74.37,955.0
2024-07-09 11:44:17.051832,28.63,67.56,955.03
2024-07-09 11:44:18.053996,28.61,67.35,955.03
2024-07-09 11:44:19.056512,28.95,73.44,954.99
2024-07-09 11:44:20.063533,28.71,72.2,955.05
2024-07-09 11:44:21.064450,28.47,67.35,955.04
2024-07-09 11:44:22.069077,28.85,73.41,955.04
2024-07-09 11:44:23.067373,28.89,75.02,955.03
2024-07-09 11:44:24.076793,28.49,69.93,955.01
2024-07-09 11:44:25.069288,28.71,72.78,955.02
2024-07-09 11:44:26.076213,28.84,74.93,955.07
2024-07-09 11:44:27.080391,28.83,75.67,955.05
2024-07-09 11:44:28.079560,28.56,72.02,955.04
2024-07-09 11:44:29.086677,28.76,74.56,955.04
2024-07-09 11:44:30.087621,28.66,73.78,955.08
2024-07-09 11:44:31.087399,28.65,73.46,955.02
2024-07-09 11:44:32.096438,28.57,71.14,955.06
2024-07-09 11:44:33.096406,28.39,66.1,955.01
2024-07-09 11:44:34.099633,28.7,72.47,955.03
2024-07-09 11:44:35.093766,28.8,74.73,955.06
2024-07-09 11:44:36.101744,28.42,70.15,955.02
2024-07-09 11:44:37.101713,28.71,73.59,955.0
2024-07-09 11:44:38.106847,28.55,72.3,955.06
2024-07-09 11:44:39.109080,28.47,69.85,955.04
2024-07-09 11:44:40.115088,28.71,73.69,955.04
2024-07-09 11:44:41.111313,28.48,71.41,955.05
2024-07-09 11:44:42.120790,28.58,72.33,955.02
2024-07-09 11:44:43.116515,28.65,73.66,955.04
2024-07-09 11:44:44.119341,28.43,68.77,955.03
2024-07-09 11:44:45.121863,28.68,73.03,955.03
2024-07-09 11:44:46.130536,28.67,74.29,955.06
2024-07-09 11:44:47.127339,28.54,73.27,955.04
2024-07-09 11:44:48.131732,28.53,72.43,955.02
2024-07-09 11:44:49.133619,28.7,74.93,955.05
2024-07-09 11:44:50.138792,28.51,73.03,955.04
2024-07-09 11:44:51.141126,28.68,74.83,955.04
2024-07-09 11:44:52.138854,28.63,74.58,955.03
2024-07-09 11:44:53.139497,28.63,74.31,955.04
2024-07-09 11:44:54.148004,28.68,74.9,955.0
2024-07-09 11:44:55.142709,28.61,73.61,955.02
2024-07-09 11:44:56.154516,28.66,74.03,955.02
2024-07-09 11:44:57.152076,28.71,74.89,955.07
2024-07-09 11:44:58.158299,28.64,74.17,955.04
2024-07-09 11:44:59.153885,28.72,75.26,955.07
2024-07-09 11:45:00.164351,28.58,73.11,955.04
2024-07-09 11:45:01.161978,28.72,75.06,955.02
2024-07-09 11:45:02.165466,28.66,74.72,955.04
2024-07-09 11:45:03.163871,28.41,68.21,955.03
2024-07-09 11:45:04.172034,28.47,70.19,955.02
2024-07-09 11:45:05.174181,28.68,74.29,955.01
2024-07-09 11:45:06.172493,28.81,76.11,955.03
2024-07-09 11:45:07.172372,28.64,75.43,955.08
2024-07-09 11:45:08.180560,28.45,73.71,955.01
2024-07-09 11:45:09.178199,28.71,75.97,955.02
2024-07-09 11:45:10.183540,28.75,76.61,955.02
2024-07-09 11:45:11.186022,28.51,73.99,955.03
2024-07-09 11:45:12.191962,28.71,75.98,955.0
2024-07-09 11:45:13.191413,28.46,72.35,955.02
