Timestamp,Temp mean (C),Temp max (C),Hum mean (%),Hum max (%),Pres mean (hPa),Pres max (hPa),Pres dev mean (hPa),Pres dev max (hPa)
2024-07-12 14:08:50.433440,21.41,21.42,33.25,33.3,956.3,956.33,0.02,0.05
2024-07-12 14:08:51.443856,21.42,21.42,33.22,33.29,956.31,956.33,0.02,0.05
2024-07-12 14:08:52.460285,21.41,21.42,33.19,33.26,956.31,956.33,0.02,0.05
2024-07-12 14:08:53.471544,21.41,21.42,33.14,33.24,956.3,956.33,0.02,0.05
2024-07-12 14:08:54.487117,21.41,21.42,33.09,33.21,956.3,956.33,0.02,0.05
2024-07-12 14:08:55.498953,21.41,21.42,33.03,33.16,956.3,956.31,0.01,0.03
2024-07-12 14:08:56.514484,21.41,21.42,32.97,33.11,956.29,956.31,0.01,0.02
2024-07-12 14:08:57.525294,21.41,21.42,32.9,33.07,956.29,956.31,0.01,0.04
2024-07-12 14:08:58.541168,21.41,21.42,32.84,32.99,956.28,956.31,0.01,0.04
2024-07-12 14:08:59.551968,21.41,21.41,32.78,32.92,956.28,956.3,0.01,0.04
2024-07-12 14:09:00.568371,21.4,21.41,32.74,32.85,956.28,956.3,0.01,0.04
2024-07-12 14:09:01.579816,21.41,21.41,32.69,32.78,956.29,956.3,0.02,0.04
2024-07-12 14:09:02.595219,21.41,21.41,32.64,32.71,956.29,956.31,0.01,0.03
2024-07-12 14:09:03.606077,21.41,21.41,32.58,32.7,956.29,956.31,0.01,0.03
2024-07-12 14:09:04.621744,21.41,21.41,32.52,32.69,956.3,956.31,0.01,0.03
2024-07-12 14:09:05.632823,21.41,21.41,32.45,32.63,956.3,956.31,0.01,0.03
2024-07-12 14:09:06.648831,21.41,21.41,32.39,32.53,956.3,956.31,0.01,0.03
2024-07-12 14:09:07.659995,21.41,21.41,32.35,32.44,956.3,956.32,0.01,0.02
2024-07-12 14:09:08.675950,21.41,21.41,32.32,32.38,956.31,956.32,0.01,0.02
2024-07-12 14:09:09.686598,21.41,21.41,32.31,32.36,956.3,956.32,0.01,0.02
2024-07-12 14:09:10.702349,21.41,21.41,32.3,32.31,956.3,956.32,0.01,0.02
2024-07-12 14:09:11.714196,21.41,21.41,32.3,32.31,956.3,956.32,0.01,0.02
2024-07-12 14:09:12.730095,21.41,21.41,32.3,32.33,956.3,956.32,0.01,0.02
2024-07-12 14:09:13.740671,21.41,21.41,32.3,32.33,956.3,956.32,0.01,0.02
2024-07-12 14:09:14.756523,21.41,21.41,32.3,32.33,956.3,956.32,0.01,0.02
2024-07-12 14:09:15.767713,21.41,21.41,32.3,32.33,956.31,956.32,0.01,0.02
2024-07-12 14:09:16.783039,21.41,21.41,32.3,32.33,956.3,956.32,0.01,0.03
2024-07-12 14:09:17.795447,21.41,21.42,32.3,32.33,956.31,956.34,0.02,0.04
2024-07-12 14:09:18.810771,21.41,21.42,32.31,32.34,956.31,956.34,0.02,0.04
2024-07-12 14:09:19.821350,21.42,21.42,32.32,32.34,956.31,956.34,0.02,0.04
2024-07-12 14:09:20.837664,21.42,21.42,32.33,32.34,956.31,956.34,0.02,0.04
2024-07-12 14:09:21.848686,21.42,21.42,32.33,32.34,956.31,956.34,0.02,0.05
2024-07-12 14:09:22.863500,21.42,21.42,32.32,32.34,956.31,956.34,0.02,0.05
2024-07-12 14:09:23.874740,21.42,21.42,32.31,32.34,956.3,956.33,0.02,0.05
2024-07-12 14:09:24.891150,21.42,21.42,32.29,32.34,956.3,956.33,0.02,0.05
2024-07-12 14:09:25.901691,21.42,21.43,32.27,32.32,956.3,956.33,0.02,0.05
2024-07-12 14:09:26.918313,21.42,21.43,32.26,32.29,956.3,956.33,0.01,0.05
2024-07-12 14:09:27.929246,21.42,21.43,32.24,32.27,956.3,956.32,0.01,0.03
2024-07-12 14:09:28.943967,21.42,21.43,32.23,32.26,956.3,956.32,0.01,0.03
2024-07-12 14:09:29.954715,21.42,21.43,32.23,32.25,956.3,956.32,0.01,0.03
2024-07-12 14:09:30.971940,21.42,21.43,32.23,32.24,956.3,956.32,0.01,0.03
2024-07-12 14:09:31.981957,21.42,21.43,32.23,32.25,956.3,956.33,0.02,0.03
2024-07-12 14:09:32.998862,21.43,21.43,32.24,32.26,956.31,956.35,0.02,0.04
2024-07-12 14:09:34.009694,21.43,21.43,32.25,32.26,956.31,956.35,0.02,0.04
2024-07-12 14:09:35.025267,21.43,21.43,32.25,32.26,956.32,956.35,0.02,0.04
2024-07-12 14:09:36.036613,21.43,21.43,32.26,32.27,956.32,956.35,0.02,0.04
2024-07-12 14:09:37.052711,21.43,21.43,32.26,32.27,956.31,956.35,0.02,0.04
2024-07-12 14:09:38.063664,21.43,21.43,32.26,32.27,956.31,956.33,0.02,0.04
2024-07-12 14:09:39.079461,21.43,21.43,32.26,32.27,956.3,956.33,0.02,0.04
2024-07-12 14:09:40.090908,21.43,21.43,32.25,32.27,956.3,956.33,0.02,0.04
2024-07-12 14:09:41.106087,21.43,21.43,32.25,32.26,956.3,956.33,0.02,0.04
2024-07-12 14:09:42.117870,21.43,21.44,32.25,32.26,956.31,956.33,0.02,0.04
2024-07-12 14:09:43.133469,21.43,21.44,32.24,32.25,956.3,956.32,0.01,0.03
2024-07-12 14:09:44.143758,21.43,21.44,32.25,32.25,956.31,956.32,0.01,0.03
2024-07-12 14:09:45.160317,21.43,21.44,32.25,32.25,956.31,956.32,0.01,0.03
2024-07-12 14:09:46.161502,21.43,21.44,32.25,32.25,956.31,956.32,0.01,0.03
2024-07-12 14:09:47.178674,21.43,21.44,32.25,32.25,956.31,956.33,0.01,0.03
2024-07-12 14:09:48.189339,21.44,21.44,32.25,32.25,956.31,956.33,0.01,0.02
2024-07-12 14:09:49.204126,21.44,21.44,32.24,32.25,956.31,956.33,0.02,0.04
2024-07-12 14:09:50.216010,21.44,21.44,32.24,32.25,956.31,956.33,0.01,0.04
2024-07-12 14:09:51.232130,21.44,21.44,32.24,32.25,956.31,956.33,0.01,0.04
2024-07-12 14:09:52.242238,21.44,21.44,32.23,32.24,956.31,956.33,0.01,0.04
2024-07-12 14:09:53.259282,21.44,21.44,32.23,32.24,956.3,956.33,0.02,0.04
2024-07-12 14:09:54.269790,21.44,21.44,32.23,32.24,956.3,956.31,0.01,0.03
2024-07-12 14:09:55.285507,21.44,21.44,32.22,32.24,956.3,956.31,0.01,0.03
2024-07-12 14:09:56.296704,21.44,21.44,32.22,32.24,956.3,956.31,0.01,0.03
2024-07-12 14:09:57.312861,21.44,21.44,32.21,32.23,956.3,956.31,0.01,0.03
2024-07-12 14:09:58.322905,21.44,21.44,32.21,32.22,956.29,956.31,0.01,0.03
2024-07-12 14:09:59.339273,21.44,21.44,32.21,32.21,956.29,956.31,0.01,0.02
2024-07-12 14:10:00.350632,21.44,21.44,32.2,32.21,956.29,956.31,0.01,0.03
