Timestamp,Temperature (C),Humidity (%),Pressure (hPa)
2024-07-05 21:14:41.559730,17.7,57.09,943.89
2024-07-05 21:14:42.554932,17.7,57.1,943.91
2024-07-05 21:14:43.562108,17.69,57.1,943.91
2024-07-05 21:14:44.559102,17.69,57.13,943.9
2024-07-05 21:14:45.570259,17.68,57.14,943.91
2024-07-05 21:14:46.563868,17.68,57.11,943.92
2024-07-05 21:14:47.575451,17.68,57.08,943.91
2024-07-05 21:14:48.569439,17.67,57.06,943.88
2024-07-05 21:14:49.574077,17.66,57.06,943.88
2024-07-05 21:14:50.575488,17.66,57.06,943.91
2024-07-05 21:14:51.577065,17.65,57.08,943.89
2024-07-05 21:14:52.584522,17.65,57.08,943.9
2024-07-05 21:14:53.585805,17.64,57.09,943.89
2024-07-05 21:14:54.589722,17.64,57.12,943.91
2024-07-05 21:14:55.594929,17.63,57.16,943.88
2024-07-05 21:14:56.595054,17.62,57.19,943.89
2024-07-05 21:14:57.597881,17.62,57.22,943.9
2024-07-05 21:14:58.595442,17.61,57.22,943.88
2024-07-05 21:14:59.599851,17.6,57.21,943.87
2024-07-05 21:15:00.598583,17.6,57.21,943.88
2024-07-05 21:15:01.604414,17.59,57.22,943.88
2024-07-05 21:15:02.607487,17.59,57.21,943.91
2024-07-05 21:15:03.609450,17.59,57.21,943.89
2024-07-05 21:15:04.610369,17.59,57.24,943.91
2024-07-05 21:15:05.615263,17.58,57.26,943.91
2024-07-05 21:15:06.611813,17.59,57.24,943.91
2024-07-05 21:15:07.622022,17.59,57.22,943.89
2024-07-05 21:15:08.624362,17.58,57.23,943.91
2024-07-05 21:15:09.628272,17.56,57.29,943.89
2024-07-05 21:15:10.626605,17.56,57.33,943.86
2024-07-05 21:15:11.633874,17.56,57.42,943.87
2024-07-05 21:15:12.634248,17.55,57.46,943.9
2024-07-05 21:15:13.636693,17.54,57.53,943.88
2024-07-05 21:15:14.638514,17.55,57.56,943.92
2024-07-05 21:15:15.640255,17.54,57.55,943.89
2024-07-05 21:15:16.643681,17.52,57.51,943.87
2024-07-05 21:15:17.643581,17.52,57.51,943.87
2024-07-05 21:15:18.645540,17.52,57.54,943.87
2024-07-05 21:15:19.651273,17.51,57.54,943.87
2024-07-05 21:15:20.648855,17.51,57.56,943.86
2024-07-05 21:15:21.654174,17.51,57.58,943.87
2024-07-05 21:15:22.652193,17.5,57.58,943.89
2024-07-05 21:15:23.663322,17.5,57.6,943.89
2024-07-05 21:15:24.657179,17.48,57.62,943.84
2024-07-05 21:15:25.661214,17.48,57.63,943.88
2024-07-05 21:15:26.668484,17.48,57.66,943.88
2024-07-05 21:15:27.668510,17.48,57.68,943.88
2024-07-05 21:15:28.667818,17.47,57.7,943.89
2024-07-05 21:15:29.671751,17.47,57.7,943.89
2024-07-05 21:15:30.673429,17.46,57.71,943.88
2024-07-05 21:15:31.682052,17.46,57.74,943.88
2024-07-05 21:15:32.677374,17.46,57.81,943.88
2024-07-05 21:15:33.686519,17.45,57.84,943.9
2024-07-05 21:15:34.683428,17.45,57.87,943.87
2024-07-05 21:15:35.685424,17.44,57.84,943.9
2024-07-05 21:15:36.688676,17.44,57.84,943.87
2024-07-05 21:15:37.694695,17.44,57.87,943.88
2024-07-05 21:15:38.690787,17.43,57.88,943.89
2024-07-05 21:15:39.700657,17.43,57.89,943.88
2024-07-05 21:15:40.698734,17.42,57.95,943.88
2024-07-05 21:15:41.706798,17.42,57.97,943.91
2024-07-05 21:15:42.706464,17.43,57.96,943.9
2024-07-05 21:15:43.705720,17.42,57.96,943.88
2024-07-05 21:15:44.706156,17.41,57.96,943.88
2024-07-05 21:15:45.715448,17.41,57.97,943.88
2024-07-05 21:15:46.709770,17.41,57.97,943.88
2024-07-05 21:15:47.716756,17.4,57.95,943.89
2024-07-05 21:15:48.719803,17.41,58.01,943.88
